start_time,end_time,elevation,responder_id,point_X,point_Y,point_Z
11/11/2023 11:19:30,11/11/2023 11:20:00,401.0000000,gvm_997,947656.6250000,6006282.0000000,401
11/11/2023 11:20:00,11/11/2023 11:20:30,401.0000000,gvm_997,947663.8125000,6006285.0000000,401
11/11/2023 11:20:30,11/11/2023 11:21:00,401.0000000,gvm_997,947674.1875000,6006286.5000000,401
11/11/2023 11:21:00,11/11/2023 11:21:30,401.0000000,gvm_997,947684.9375000,6006291.5000000,401
11/11/2023 11:21:30,11/11/2023 11:22:00,401.0000000,gvm_997,947692.0000000,6006305.0000000,401
11/11/2023 11:22:00,11/11/2023 11:22:30,401.0000000,gvm_997,947696.8125000,6006317.5000000,401
11/11/2023 11:22:30,11/11/2023 11:23:00,405.0000000,gvm_997,947689.6250000,6006323.5000000,405
11/11/2023 11:23:00,11/11/2023 11:23:30,414.0000000,gvm_997,947690.6875000,6006323.0000000,414
11/11/2023 11:23:30,11/11/2023 11:24:00,420.0000000,gvm_997,947693.2500000,6006322.0000000,420
11/11/2023 11:24:00,11/11/2023 11:24:30,422.0000000,gvm_997,947686.2500000,6006319.5000000,422
11/11/2023 11:24:30,11/11/2023 11:25:00,422.0000000,gvm_997,947680.0625000,6006322.5000000,422
11/11/2023 11:25:00,11/11/2023 11:25:30,422.0000000,gvm_997,947670.3125000,6006328.0000000,422
11/11/2023 11:25:30,11/11/2023 11:26:00,422.0000000,gvm_997,947665.8125000,6006325.5000000,422
11/11/2023 11:26:00,11/11/2023 11:26:30,422.0000000,gvm_997,947654.8125000,6006323.5000000,422
11/11/2023 11:19:30,11/11/2023 11:20:00,401.0000000,ns_552,947653.8750000,6006283.5000000,401
11/11/2023 11:20:00,11/11/2023 11:20:30,401.0000000,ns_552,947651.4375000,6006292.5000000,401
11/11/2023 11:20:30,11/11/2023 11:21:00,401.0000000,ns_552,947649.9375000,6006306.5000000,401
11/11/2023 11:21:00,11/11/2023 11:21:30,401.0000000,ns_552,947649.0625000,6006307.5000000,401
11/11/2023 11:21:30,11/11/2023 11:22:00,401.0000000,ns_552,947636.5000000,6006311.0000000,401
11/11/2023 11:22:00,11/11/2023 11:22:30,401.0000000,ns_552,947635.5000000,6006312.0000000,401
11/11/2023 11:22:30,11/11/2023 11:23:00,402.0000000,ns_552,947618.7500000,6006323.5000000,402
11/11/2023 11:23:00,11/11/2023 11:23:30,402.0000000,ns_552,947624.2500000,6006317.5000000,402
11/11/2023 11:23:30,11/11/2023 11:24:00,401.0000000,ns_552,947620.5000000,6006331.0000000,401
11/11/2023 11:24:00,11/11/2023 11:24:30,401.0000000,ns_552,947627.2500000,6006346.5000000,401
11/11/2023 11:24:30,11/11/2023 11:25:00,404.0000000,ns_552,947638.8125000,6006348.5000000,404
11/11/2023 11:25:00,11/11/2023 11:25:30,411.0000000,ns_552,947640.5000000,6006349.5000000,411
11/11/2023 11:25:30,11/11/2023 11:26:00,417.0000000,ns_552,947642.0000000,6006347.5000000,417
11/11/2023 11:26:00,11/11/2023 11:26:30,422.0000000,ns_552,947645.0000000,6006339.5000000,422
11/11/2023 11:26:30,11/11/2023 11:27:00,422.0000000,ns_552,947652.4375000,6006337.0000000,422
11/11/2023 11:27:00,11/11/2023 11:27:30,422.0000000,ns_552,947653.0625000,6006330.5000000,422
11/11/2023 11:27:30,11/11/2023 11:28:00,422.0000000,ns_552,947653.7500000,6006324.0000000,422
11/11/2023 11:28:00,11/11/2023 11:28:30,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:28:30,11/11/2023 11:29:00,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:29:00,11/11/2023 11:29:30,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:29:30,11/11/2023 11:30:00,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:30:00,11/11/2023 11:30:30,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:30:30,11/11/2023 11:31:00,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:31:00,11/11/2023 11:31:30,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:31:30,11/11/2023 11:32:00,422.0000000,ns_552,947653.8125000,6006324.0000000,422
11/11/2023 11:26:30,11/11/2023 11:27:00,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:27:00,11/11/2023 11:27:30,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:27:30,11/11/2023 11:28:00,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:28:00,11/11/2023 11:28:30,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:28:30,11/11/2023 11:29:00,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:29:00,11/11/2023 11:29:30,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:29:30,11/11/2023 11:30:00,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
11/11/2023 11:30:00,11/11/2023 11:30:30,422.0000000,gvm_997,947654.8750000,6006323.5000000,422
